"ID ACTIVO","NUMERO ETIQUETA",ESTADO,"VALOR UNITARIO","FECHA ADQUISICION",CATEGORIA,"DESCRIPCION CATEGORIA",MARCA,PLACAS,"NÚMERO MOTOR",SERIE,MODELO,COLOR,"DESCRIPCION BIEN","ID DEPENDENCIA",DEPENDENCIA
22559,201470354,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2989,2ZRL229476,5YFBURHE2EP125516,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
22561,201470364,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2984,2ZRL262281,5YFBURHE8EP139694,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
22561,201470364,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2984,2ZRL262281,5YFBURHE8EP139694,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
22586,201470383,ALTA,416867,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHEVROLET,POL2963,HECHO EN MEXICO,3GCPC9EC4EG397745,2014,,PICK UP CREW CAB,3101,COORDINACION ADMINISTRATIVA
22592,201470380,ALTA,416867,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHEVROLET,POL2967,HECHO EN MEXICO,3GCPC9ECXEG353281,2014,,PICK UP CREW CAB,3101,COORDINACION ADMINISTRATIVA
22595,201470372,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2976,2ZRL118356,5YFBURHE0EP072721,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
22595,201470372,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2976,2ZRL118356,5YFBURHE0EP072721,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
22598,201470367,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2980,2ZRL278998,5YFBURHE4EP146075,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
22598,201470367,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2980,2ZRL278998,5YFBURHE4EP146075,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
22637,201571075,ALTA,391650,12/30/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHRYSLER,POL3048,HECHO EN MEXICO,3C6SRADT7FG549926,2015,,PICK UP  DODGE RAM 2500 CREW,3101,COORDINACION ADMINISTRATIVA
22640,201571069,ALTA,391650,12/30/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHRYSLER,POL3044,HECHO EN MEXICO,3C6SRADT2FG541149,2015,,PICK UP  DODGE RAM 2500 CREW,3101,COORDINACION ADMINISTRATIVA
22648,201571054,ALTA,391650,12/30/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHRYSLER,POL3041,HECHO EN MEXICO,3C6SRADT5FG541145,2015,,PICK UP  DODGE RAM 2500 CREW,3101,COORDINACION ADMINISTRATIVA
22660,201571077,ALTA,391650,12/30/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHRYSLER,POL3049,HECHO EN MEXICO,3C6SRADT5FG549925,2015,,PICK UP  DODGE RAM 2500 CREW,3101,COORDINACION ADMINISTRATIVA
22678,201571067,ALTA,391650,12/30/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHRYSLER,POL3042,HECHO EN MEXICO,3C6SRADT9FG541150,2015,,PICK UP  DODGE RAM 2500 CREW,3101,COORDINACION ADMINISTRATIVA
22679,201571068,ALTA,391650,12/30/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHRYSLER,POL3043,HECHO EN MEXICO,3C6SRADT9FG549930,2015,,PICK UP  DODGE RAM 2500 CREW,3101,COORDINACION ADMINISTRATIVA
22691,201571124,ALTA,181359.99,12/30/14,549,OTROS EQUIPOS DE TRANSPORTE,KAWACENTER,M-532,KL650AEAA9910,JKAKLEE18EDA73709,2014,,KAWASAKI KLR 650,3101,COORDINACION ADMINISTRATIVA
22426,201368286,ALTA,166866,10/22/13,549,OTROS EQUIPOS DE TRANSPORTE,KAWASAKI,M-507,MOTOR KL650AEAA6678,JKAKLEE19EDA70477,2014,,MOTOPATRULLA  KRL605,3101,COORDINACION ADMINISTRATIVA
22428,201468433,ALTA,402200,1/7/14,541,VEHICULOS Y EQUIPO TERRESTRE,DODGE,POL2726,HECHO EN USA,2C3CDXAG8EH121050,2014,,CHARGER  SEDAN,3101,COORDINACION ADMINISTRATIVA
22417,201368287,ALTA,166866,10/22/13,549,OTROS EQUIPOS DE TRANSPORTE,KAWASAKI,M-506,MOTOR KL650AEAA6679,JKAKLEE10EDA70478,2014,,MOTOPATRULLA  KRL605,3101,COORDINACION ADMINISTRATIVA
18773,201571130,ALTA,181359.99,12/30/14,549,OTROS EQUIPOS DE TRANSPORTE,KAWACENTER,M-525,KL650AEAA8615,JKAKLEE16EDA72414,2014,,KAWASAKI KLR 650,3101,COORDINACION ADMINISTRATIVA
