ID_COL,ID_COLSECC,ID_SECT,NUM_LUM,ID_LUM,ID_LUMIN,TIPO_LUM,CAP_LUM,SERV,NUM_MED,CAPA,X_LON,Y_LAT
253,25302,12,99,12253099,12253020099,VSA,70,MED,4V4P2,70,-107.42753838700,24.85007145890
253,25302,12,100,12253100,12253020100,VSA,70,MED,4V4P2,70,-107.42768435400,24.84973407800
253,25302,12,101,12253101,12253020101,VSA,70,MED,4V4P2,70,-107.42721500500,24.85013073790
253,25302,12,102,12253102,12253020102,VSA,70,MED,4V4P2,70,-107.42711502500,24.84996859340
253,25302,12,103,12253103,12253020103,VSA,70,MED,4V4P2,70,-107.42723305800,24.84969578310
253,25302,12,104,12253104,12253020104,VSA,70,MED,4V4P2,70,-107.42744551600,24.84920472730
253,25302,12,105,12253105,12253020105,VSA,70,MED,4V4P2,70,-107.42711696200,24.85043495240
253,25302,12,106,12253106,12253020106,VSA,70,MED,4V4P2,70,-107.42688897400,24.85054349030
253,25302,12,107,12253107,12253020107,VSA,70,MED,4V4P2,70,-107.42668557400,24.85031459200
253,25302,12,108,12253108,12253020108,VSA,70,MED,4V4P2,70,-107.42689708200,24.85009175080
253,25302,12,109,12253109,12253020109,VSA,70,MED,4V4P2,70,-107.42669579800,24.85002424630
253,25302,12,110,12253110,12253020110,VSA,70,MED,4V4P2,70,-107.42701586200,24.84954959900
253,25302,12,111,12253111,12253020111,VSA,70,MED,4V4P2,70,-107.42668674200,24.84973314700
253,25302,12,112,12253112,12253020112,VSA,70,MED,4V4P2,70,-107.42649281800,24.84967206830
253,25302,12,113,12253113,12253020113,VSA,70,MED,4V4P2,70,-107.42759865700,24.84875919680
253,25302,12,114,12253114,12253020114,VSA,70,MED,4V4P2,70,-107.42726953800,24.84894274680
253,25302,12,115,12253115,12253020115,VSA,70,MED,4V4P2,70,-107.42694041800,24.84912629620
253,25302,12,116,12253116,12253020116,VSA,70,MED,4V4P2,70,-107.42666615100,24.84927925360
253,25302,12,117,12253117,12253020117,VSA,70,MED,4V4P2,70,-107.42639188400,24.84943221130
253,25302,12,118,12253118,12253020118,VSA,70,MED,4V4P2,70,-107.42625517400,24.84933922450
253,25302,12,119,12253119,12253020119,VSA,70,MED,4V4P2,70,-107.42633653800,24.84912462170
253,25302,12,120,12253120,12253020120,VSA,70,MED,4V4P2,70,-107.42661080500,24.84897166500
253,25302,12,121,12253121,12253020121,VSA,70,MED,4V4P2,70,-107.42699477800,24.84875752390
253,25302,12,122,12253122,12253020122,VSA,70,MED,4V4P2,70,-107.42732389600,24.84857397450
253,25302,12,123,12253123,12253020123,VSA,70,MED,4V4P2,70,-107.42603052300,24.84899913420
253,25302,12,124,12253124,12253020124,VSA,70,MED,4V4P2,70,-107.42611423700,24.84878321980
253,25302,12,125,12253125,12253020125,VSA,70,MED,4V4P2,70,-107.42649821000,24.84856908090
253,25302,12,126,12253126,12253020126,VSA,70,MED,4V4P2,70,-107.42682732800,24.84838553340
253,25302,12,127,12253127,12253020127,VSA,70,MED,4V4P2,70,-107.42721997100,24.84840616170
253,25302,12,128,12253128,12253020128,VSA,70,MED,4V4P2,70,-107.42578365500,24.84865421540
253,25302,12,129,12253129,12253020129,VSA,70,MED,4V4P2,70,-107.42576522900,24.84851248330
253,25302,12,130,12253130,12253020130,VSA,70,MED,4V4P2,70,-107.42609434800,24.84832893740
253,25302,12,131,12253131,12253020131,VSA,70,MED,4V4P2,70,-107.42631376100,24.84820657250
253,25302,12,132,12253132,12253020132,VSA,70,MED,4V4P2,70,-107.42471348200,24.84776422570
253,25302,12,133,12253133,12253020133,VSA,70,MED,4V4P2,70,-107.42517927100,24.84788352200
253,25302,12,134,12253134,12253020134,VSA,70,MED,4V4P2,70,-107.42547516100,24.84795930450
253,25302,12,135,12253135,12253020135,VSA,70,MED,4V4P2,70,-107.42572810200,24.84802408540
253,25302,12,136,12253136,12253020136,VSA,70,MED,4V4P2,70,-107.42603067500,24.84810157780
253,25302,12,137,12253137,12253020137,VSA,70,MED,4V4P2,70,-107.42569705400,24.84821203640
253,25302,12,138,12253138,12253020138,VSA,70,MED,4V4P2,70,-107.42547825900,24.84814002430
253,25302,12,139,12253139,12253020139,VSA,70,MED,4V4P2,70,-107.42524948400,24.84808706550
253,25302,12,140,12253140,12253020140,VSA,70,MED,4V4P2,70,-107.42501054500,24.84804371700
253,25302,12,141,12253141,12253020141,VSA,70,MED,4V4P2,70,-107.42528495100,24.84831318580
253,25302,12,142,12253142,12253020142,VSA,70,MED,4V4P2,70,-107.42541152900,24.84843392440
253,25300,12,1,12253143,12253000001,VSA,70,MED,5T5B52,70,-107.42719193700,24.84709266550
253,25300,12,2,12253144,12253000002,VSA,70,DIR,,70,-107.42724023200,24.84738263420
253,25300,12,3,12253145,12253000003,VSA,70,MED,5T5B52,70,-107.42727886900,24.84761460900
253,25300,12,4,12253146,12253000004,VSA,70,DIR,,70,-107.42732824300,24.84791103900
253,25300,12,5,12253147,12253000005,VSA,70,DIR,,70,-107.42715207800,24.84691523930
253,25300,12,6,12253148,12253000006,VSA,70,MED,5T5B52,70,-107.42686848600,24.84779345120
253,25300,12,7,12253149,12253000007,VSA,70,MED,5T5B52,70,-107.42653411800,24.84770793400
253,25300,12,8,12253150,12253000008,VSA,70,MED,5T5B52,70,-107.42648582300,24.84741796500
253,25300,12,9,12253151,12253000009,VSA,70,MED,5T5B52,70,-107.42642201000,24.84703481800
253,25300,12,10,12253152,12253000010,VSA,70,DIR,,70,-107.42679013700,24.84732304090
253,25300,12,11,12253153,12253000011,VSA,70,MED,5T5B52,70,-107.42682877400,24.84755501670
253,25300,12,12,12253154,12253000012,VSA,70,MED,5T5B52,70,-107.42624154600,24.84763310430
253,25300,12,13,12253155,12253000013,VSA,70,MED,5T5B52,70,-107.42594897500,24.84755827490
253,25300,12,14,12253156,12253000014,VSA,70,MED,5T5B52,70,-107.42583697900,24.84752962960
253,25300,12,15,12253157,12253000015,VSA,70,MED,5T5B52,70,-107.42582007600,24.84738291020
253,25300,12,16,12253158,12253000016,VSA,70,MED,5T5B52,70,-107.42588472100,24.84717247130
253,25300,12,17,12253159,12253000017,VSA,70,MED,5T5B52,70,-107.42591562700,24.84735804130
253,25300,12,18,12253160,12253000018,VSA,70,MED,5T5B52,70,-107.42664779300,24.84692302340
253,25300,12,19,12253161,12253000019,VSA,70,MED,5T5B52,70,-107.42600501800,24.84693294280
253,25300,12,20,12253162,12253000020,VSA,150,MED,9U663L,150,-107.42524621600,24.84737852990
253,25300,12,21,12253163,12253000021,VSA,150,MED,9U663L,150,-107.42482029100,24.84729382130
253,25300,12,22,12253164,12253000022,VSA,150,MED,9U663L,150,-107.42534065300,24.84694038120
253,25300,12,23,12253165,12253000023,VSA,150,MED,9U663L,150,-107.42492894900,24.84689635040
253,25300,12,24,12253166,12253000024,VSA,150,MED,9U663L,150,-107.42435077600,24.84735100570
